"filename", "language", "C++", "JSON", "Markdown", "CMake", "YAML", "Dart", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 13, 10, 59
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\google-services.json", "JSON", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 1, 12
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 1, 46
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 1, 12
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 5, 29
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\devtools_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\firebase.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\l10n.yaml", "YAML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\app\app.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\app\main.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 6, 63
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\config\environment.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 5, 14
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\config\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 12, 7, 87
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\error\api_exception.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\api_service.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 9, 80
